Matrix Size,CPU Avg Time (ms),GPU Avg Time (ms),Tiled GPU Avg Time (ms)
100,3.00,0.00,1.02
100,2.00,0.01,0.98
100,3.00,0.00,0.98
100,3.00,0.01,0.98
100,3.00,0.01,0.99
100,3.00,0.00,0.98
100,2.00,0.00,0.98
100,3.00,0.00,0.99
100,3.00,0.00,1.00
100,2.00,0.00,0.98
250,42.00,0.01,13.15
250,41.00,0.00,13.59
250,41.00,0.01,13.27
250,41.00,0.01,13.27
250,41.00,0.01,12.99
250,41.00,0.01,13.24
250,41.00,0.01,13.47
250,42.00,0.01,13.28
250,41.00,0.00,13.23
250,42.00,0.01,13.25
500,329.00,0.01,103.27
500,329.00,0.01,86.94
500,330.00,0.01,90.60
500,329.00,0.01,88.40
500,329.00,0.01,86.94
500,329.00,0.01,86.93
500,329.00,0.01,86.95
500,329.00,0.01,86.83
500,329.00,0.01,87.54
500,329.00,0.01,88.84
1000,2665.00,0.01,1020.22
1000,2753.00,0.01,782.66
1000,2674.00,0.01,963.06
1000,2673.00,0.01,960.36
1000,2675.00,0.00,941.89
1000,2685.00,0.01,917.28
1000,2680.00,0.01,936.36
1000,2682.00,0.01,908.81
1000,2676.00,0.01,905.47
1000,2672.00,0.01,933.23
1500,9191.00,0.02,2702.96
1500,9018.00,0.01,2767.08
1500,10255.00,0.01,2745.76
1500,9667.00,0.01,2765.16
1500,9283.00,0.01,2843.16
1500,9152.00,0.00,2841.09
1500,9132.00,0.01,2690.66
1500,9054.00,0.01,2735.13
1500,9079.00,0.00,2702.28
1500,9024.00,0.00,2762.20
