Matrix Size,CPU Avg Time (ms),GPU Avg Time (ms),Tiled GPU Avg Time (ms)
100,2.00,0.01,0.18
100,2.00,0.00,0.16
100,3.00,0.00,0.16
100,3.00,0.00,0.16
100,2.00,0.00,0.16
100,2.00,0.01,0.16
100,3.00,0.00,0.16
100,3.00,0.00,0.16
100,3.00,0.00,0.16
100,3.00,0.00,0.16
250,41.00,0.01,0.90
250,41.00,0.01,0.91
250,41.00,0.00,0.91
250,41.00,0.00,0.90
250,41.00,0.00,0.92
250,42.00,0.00,0.92
250,41.00,0.01,0.92
250,41.00,0.01,0.90
250,41.00,0.01,1.22
250,41.00,0.01,0.91
500,330.00,0.01,5.15
500,329.00,0.01,5.15
500,329.00,0.01,5.48
500,329.00,0.01,5.14
500,329.00,0.01,5.15
500,329.00,0.01,5.15
500,329.00,0.01,5.14
500,329.00,0.01,5.16
500,329.00,0.01,5.15
500,330.00,0.01,5.92
1000,2661.00,0.01,40.58
1000,2658.00,0.04,218.25
1000,2655.00,0.01,258.12
1000,2662.00,0.01,205.24
1000,2680.00,0.04,247.51
1000,2684.00,0.01,183.07
1000,2659.00,0.01,259.38
1000,2651.00,0.01,239.67
1000,2654.00,0.01,249.95
1000,2674.00,0.01,300.26
1500,9220.00,0.04,381.20
1500,8990.00,0.01,395.09
1500,9034.00,0.01,371.07
1500,9043.00,0.00,355.21
1500,9125.00,0.01,278.16
1500,9007.00,0.01,369.40
1500,8993.00,0.01,391.20
1500,9032.00,0.01,371.39
1500,9000.00,0.01,390.91
1500,9013.00,0.01,382.38
