Matrix Size,Block Width,GPU Execution Time (ms),NumBlocks/BlockWidth
100,2,0.38912,50
250,2,5.41286,125
500,2,41.6748,250
1000,2,344.13,500
1500,2,1152.64,750
100,5,0.100256,20
250,5,0.892928,50
500,5,5.65965,100
1000,5,52.6367,200
1500,5,185.773,300
100,10,0.09728,10
250,10,0.40016,25
500,10,2.09306,50
1000,10,17.6998,100
1500,10,60.7058,150
100,25,0.096416,4
250,25,0.388096,10
500,25,2.08077,20
1000,25,17.8348,40
1500,25,58.846,60
100,32,0.099168,4
250,32,0.387072,8
500,32,2.0951,16
1000,32,21.8078,32
1500,32,69.7906,47
