Matrix Size, Device to Host (ms), Host to Device (ms)
100,0.05,0.03
100,0.03,0.04
100,0.03,0.04
100,0.05,0.04
100,0.03,0.05
100,0.05,0.04
100,0.61,0.06
100,0.03,0.16
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.05,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.05
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.06,0.05
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.05
100,0.05,0.05
100,0.06,0.05
100,0.05,0.05
100,0.03,0.05
100,0.05,0.05
100,0.03,0.04
100,0.03,0.04
100,0.05,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.03
100,0.03,0.04
100,0.03,0.03
100,0.03,0.04
100,0.03,0.06
100,0.03,0.04
100,0.03,0.04
100,0.03,0.03
100,0.04,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.04,0.03
100,0.03,0.04
100,0.06,0.03
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.05,0.04
100,0.04,0.04
100,0.03,0.04
100,0.05,0.04
100,0.03,0.03
100,0.03,0.03
100,0.03,0.04
100,0.03,0.04
100,0.03,0.04
100,0.04,0.04
100,0.03,0.04
100,0.27,0.04
100,0.03,0.03
250,0.09,0.09
250,0.10,0.10
250,0.09,0.09
250,0.09,0.09
250,0.09,0.08
250,0.09,0.08
250,0.09,0.09
250,0.09,0.08
250,0.08,0.09
250,0.09,0.09
250,0.09,0.09
250,0.08,0.09
250,0.08,0.09
250,0.08,0.11
250,0.11,0.09
250,0.09,0.09
250,0.09,0.08
250,0.09,0.08
250,0.09,0.09
250,0.10,0.08
250,0.09,0.08
250,0.08,0.08
250,0.08,0.08
250,0.08,0.08
250,0.08,0.08
250,0.08,0.08
250,0.08,0.08
250,0.08,0.11
250,0.13,0.12
250,0.13,0.12
250,0.13,0.11
250,0.14,0.11
250,0.13,0.11
250,0.13,0.12
250,0.14,0.12
250,0.13,0.12
250,0.13,0.11
250,0.13,0.12
250,0.13,0.11
250,0.13,0.11
250,0.14,0.11
250,0.13,0.11
250,0.13,0.12
250,0.13,0.12
250,0.13,0.12
250,0.13,0.11
250,0.13,0.11
250,0.13,0.12
250,0.14,0.11
250,0.13,0.11
250,0.13,0.12
250,0.13,0.11
250,0.13,0.12
250,0.14,0.31
250,0.13,0.11
250,0.13,0.11
250,0.13,0.11
250,0.14,0.11
250,0.13,0.13
250,0.16,0.12
250,0.13,0.12
250,0.13,0.12
250,0.13,0.11
250,0.13,0.11
250,0.13,0.11
250,0.13,0.11
250,0.14,0.11
250,0.13,0.11
250,0.13,0.12
250,0.13,0.13
250,0.13,0.12
250,0.13,0.12
250,0.13,0.11
250,0.13,0.11
250,0.13,0.11
250,0.14,0.11
250,0.13,0.11
250,0.13,0.12
250,0.13,0.11
250,0.13,0.12
250,0.13,0.11
250,0.13,0.11
250,0.13,0.11
250,0.13,0.15
250,0.15,0.12
250,0.13,0.11
250,0.13,0.11
250,0.13,0.11
250,0.13,0.12
250,0.13,0.11
250,0.13,0.11
250,0.13,0.11
250,0.13,0.11
250,0.14,0.12
250,0.13,0.11
250,0.13,0.12
250,0.13,0.13
250,0.14,0.12
250,0.13,0.18
250,0.13,0.11
500,0.34,0.28
500,0.32,0.27
500,0.32,0.26
500,0.33,0.26
500,0.32,0.26
500,0.31,0.25
500,0.32,0.26
500,0.31,0.26
500,0.32,0.29
500,0.34,0.27
500,0.32,0.26
500,0.31,0.26
500,0.32,0.25
500,0.32,0.25
500,0.32,0.26
500,0.32,0.26
500,0.32,0.25
500,0.31,0.26
500,0.32,0.26
500,0.32,0.25
500,0.32,0.26
500,0.33,0.25
500,0.32,0.26
500,0.31,0.25
500,0.31,0.26
500,0.32,0.26
500,0.36,0.26
500,0.31,0.25
500,0.31,0.26
500,0.32,0.25
500,0.31,0.27
500,0.35,0.33
500,0.38,0.26
500,0.33,0.26
500,0.33,0.26
500,0.32,0.25
500,0.32,0.26
500,0.35,0.26
500,0.32,0.25
500,0.31,0.25
500,0.32,0.26
500,0.31,0.25
500,0.31,0.26
500,0.32,0.26
500,0.32,0.25
500,0.31,0.25
500,0.31,0.26
500,0.31,0.25
500,0.31,0.26
500,0.35,0.26
500,0.32,0.26
500,0.31,0.25
500,0.31,0.26
500,0.31,0.26
500,0.32,0.26
500,0.39,0.25
500,0.31,0.26
500,0.31,0.26
500,0.31,0.26
500,0.31,0.26
500,0.31,0.26
500,0.31,0.26
500,0.32,0.26
500,0.31,0.25
500,0.31,0.26
500,0.31,0.25
500,0.31,0.25
500,0.32,0.25
500,0.31,0.26
500,0.31,0.25
500,0.31,0.25
500,0.32,0.26
500,0.32,0.25
500,0.32,0.26
500,0.31,0.24
500,0.33,0.26
500,0.31,0.25
500,0.31,0.27
500,0.31,0.26
500,0.31,0.25
500,0.31,0.25
500,0.31,0.27
500,0.32,0.26
500,0.31,0.26
500,0.31,0.25
500,0.31,0.26
500,0.31,0.25
500,0.31,0.26
500,0.32,0.25
500,0.31,0.27
500,0.31,0.26
500,0.31,0.25
500,0.32,0.25
500,0.31,0.26
500,0.32,0.26
500,0.31,0.25
500,0.31,0.26
500,0.31,0.26
500,0.31,0.26
500,0.31,0.26
1000,1.33,0.89
1000,1.18,0.75
1000,0.94,0.76
1000,0.92,0.77
1000,0.92,0.80
1000,1.27,0.78
1000,1.13,0.77
1000,1.10,0.77
1000,1.08,0.76
1000,1.08,0.77
1000,0.98,0.77
1000,0.92,0.77
1000,0.92,0.76
1000,0.91,0.77
1000,0.91,0.78
1000,0.94,0.77
1000,0.94,0.77
1000,0.93,0.78
1000,0.92,0.76
1000,0.91,0.77
1000,1.06,0.77
1000,1.02,0.77
1000,0.97,0.77
1000,0.96,0.79
1000,0.93,0.78
1000,0.94,0.77
1000,0.92,0.77
1000,0.91,0.77
1000,0.91,0.77
1000,0.91,0.76
1000,0.91,0.77
1000,0.91,0.74
1000,0.91,0.76
1000,0.90,0.77
1000,0.91,0.77
1000,0.92,0.77
1000,0.90,0.76
1000,0.90,0.77
1000,0.90,0.74
1000,0.91,0.84
1000,0.93,0.79
1000,0.93,0.76
1000,0.96,0.76
1000,0.93,0.77
1000,0.91,0.77
1000,0.91,0.77
1000,0.90,0.77
1000,0.90,0.76
1000,0.90,0.76
1000,0.90,0.77
1000,0.90,0.77
1000,0.92,0.77
1000,0.92,0.77
1000,0.90,0.77
1000,0.97,0.77
1000,0.91,0.90
1000,0.99,0.78
1000,0.91,0.75
1000,0.91,0.77
1000,0.91,0.77
1000,0.92,0.76
1000,0.91,0.77
1000,0.91,0.77
1000,0.90,0.77
1000,0.90,0.77
1000,0.90,0.77
1000,0.91,0.77
1000,0.92,0.77
1000,0.91,0.77
1000,0.90,0.76
1000,0.90,0.77
1000,0.91,0.76
1000,0.90,0.77
1000,0.92,0.78
1000,0.92,0.78
1000,0.92,0.77
1000,0.91,0.76
1000,0.90,0.78
1000,0.90,0.77
1000,0.90,0.74
1000,0.91,0.77
1000,0.91,0.77
1000,0.90,0.77
1000,0.90,0.74
1000,0.90,0.79
1000,0.94,0.77
1000,0.90,0.77
1000,0.90,0.77
1000,0.90,0.77
1000,0.90,0.77
1000,0.90,0.77
1000,0.90,0.77
1000,0.90,0.77
1000,0.90,0.77
1000,0.90,0.77
1000,0.90,0.78
1000,0.91,0.78
1000,0.90,0.77
1000,0.91,0.81
1000,0.92,0.83
1500,3.64,1.87
1500,3.12,1.98
1500,3.18,1.87
1500,3.01,1.66
1500,2.69,1.65
1500,2.60,1.66
1500,2.62,1.65
1500,2.24,1.64
1500,2.13,1.65
1500,2.24,1.65
1500,2.23,1.65
1500,2.28,1.64
1500,2.19,1.84
1500,2.68,1.65
1500,2.33,1.66
1500,2.31,1.65
1500,2.31,1.66
1500,2.29,1.67
1500,2.54,1.67
1500,2.47,1.82
1500,2.66,1.67
1500,2.45,1.67
1500,2.43,1.70
1500,2.49,1.66
1500,2.45,1.66
1500,2.44,1.66
1500,2.36,1.65
1500,2.15,1.65
1500,2.13,1.67
1500,2.28,1.68
1500,2.26,1.66
1500,2.19,1.65
1500,2.17,1.73
1500,3.19,1.65
1500,2.81,1.67
1500,2.45,1.65
1500,2.45,1.66
1500,2.22,1.65
1500,2.19,1.71
1500,2.89,1.66
1500,2.66,1.67
1500,2.58,1.67
1500,2.58,1.66
1500,2.51,1.66
1500,2.52,1.66
1500,2.30,1.65
1500,2.20,1.65
1500,2.13,1.65
1500,2.16,1.75
1500,2.84,1.66
1500,2.74,1.66
1500,2.72,1.67
1500,2.69,1.65
1500,2.65,1.65
1500,2.61,1.78
1500,2.41,1.65
1500,2.22,1.64
1500,2.15,1.71
1500,2.51,1.66
1500,2.40,1.66
1500,2.38,1.67
1500,2.46,1.65
1500,2.40,1.65
1500,2.37,1.65
1500,2.34,1.68
1500,2.88,1.64
1500,2.65,1.66
1500,2.61,1.68
1500,2.33,1.65
1500,2.29,1.64
1500,2.31,1.72
1500,2.16,1.68
1500,2.13,1.64
1500,2.09,1.70
1500,2.09,1.68
1500,2.14,1.69
1500,2.10,1.69
1500,2.28,1.65
1500,2.45,1.67
1500,2.43,1.65
1500,2.40,1.71
1500,2.44,1.65
1500,2.35,1.70
1500,2.32,1.71
1500,2.32,1.66
1500,2.21,1.70
1500,2.13,1.64
1500,2.08,1.68
1500,2.60,1.66
1500,2.50,1.65
1500,2.46,1.71
1500,2.47,1.64
1500,2.39,1.69
1500,2.35,1.70
1500,2.22,1.65
1500,2.49,1.65
1500,2.31,1.67
1500,2.47,1.69
1500,2.51,1.77
1500,2.52,1.66
